"year","region","selected_country_of_embarkation","TOTAL_PAX"
1983,"North East Asia","Hong Kong",360774
1983,"North East Asia","Japan",249100
1983,"South East Asia","Indonesia",536939
1983,"South East Asia","Malaysia",918443
1983,"South East Asia","Philippines",142362
1983,"South East Asia","Thailand",383382
1984,"Europe","United Kingdom",146884
1984,"North East Asia","Hong Kong",402072
1984,"North East Asia","Japan",260915
1984,"South East Asia","Indonesia",561842
1984,"South East Asia","Malaysia",993161
1984,"South East Asia","Philippines",145214
1984,"South East Asia","Thailand",420337
1985,"Europe","United Kingdom",177613
1985,"North East Asia","Hong Kong",417847
1985,"North East Asia","Japan",292770
1985,"South East Asia","Indonesia",546761
1985,"South East Asia","Malaysia",988669
1985,"South East Asia","Philippines",130528
1985,"South East Asia","Thailand",432730
1986,"Europe","France",31136
1986,"Europe","Germany",46150
1986,"Europe","United Kingdom",193465
1986,"North East Asia","Hong Kong",436638
1986,"North East Asia","Japan",293489
1986,"South East Asia","Indonesia",524621
1986,"South East Asia","Malaysia",929993
1986,"South East Asia","Philippines",127844
1986,"South East Asia","Thailand",452707
1987,"Europe","France",30263
1987,"Europe","Germany",47704
1987,"Europe","United Kingdom",211118
1987,"North East Asia","China",25956
1987,"North East Asia","Hong Kong",465033
1987,"North East Asia","Japan",375224
1987,"South East Asia","Indonesia",572890
1987,"South East Asia","Malaysia",990725
1987,"South East Asia","Philippines",138041
1987,"South East Asia","Thailand",565710
1988,"Europe","France",32824
1988,"Europe","Germany",68653
1988,"Europe","United Kingdom",228418
1988,"North East Asia","China",34077
1988,"North East Asia","Hong Kong",449992
1988,"North East Asia","Japan",476344
1988,"South East Asia","Indonesia",671642
1988,"South East Asia","Malaysia",1098645
1988,"South East Asia","Philippines",144615
1988,"South East Asia","Thailand",659966
1989,"Europe","France",37408
1989,"Europe","Germany",89503
1989,"Europe","United Kingdom",256542
1989,"North East Asia","China",34801
1989,"North East Asia","Hong Kong",452084
1989,"North East Asia","Japan",639064
1989,"South East Asia","Indonesia",775512
1989,"South East Asia","Malaysia",1237686
1989,"South East Asia","Philippines",161765
1989,"South East Asia","Thailand",768116
1990,"Europe","France",42260
1990,"Europe","Germany",103022
1990,"Europe","United Kingdom",289171
1990,"North East Asia","China",41690
1990,"North East Asia","Hong Kong",556861
1990,"North East Asia","Japan",758569
1990,"South East Asia","Indonesia",861638
1990,"South East Asia","Malaysia",1439381
1990,"South East Asia","Philippines",155235
1990,"South East Asia","Thailand",849325
1991,"Europe","France",43066
1991,"Europe","Germany",104327
1991,"Europe","United Kingdom",301168
1991,"North East Asia","China",58324
1991,"North East Asia","Hong Kong",570651
1991,"North East Asia","Japan",758332
1991,"South East Asia","Indonesia",956870
1991,"South East Asia","Malaysia",1622985
1991,"South East Asia","Philippines",160739
